slot,scene,method,tier,role,retrieval_success,confirmation_failure,from_round,to_round,historical_view_id,model_all_phase_hit_cells,all_phase_actual_miss_cells,model_any_phase_hit_cells,any_phase_actual_miss_cells,actual_hit_cells,actual_outside_model_cells,needed_cells,needed_all_phase_hits,needed_all_phase_misses,needed_actual_hits,predicted_confirmation_all_phase,predicted_confirmation_any_phase,actual_prior_candidate_support_complete,actual_confirmation,newly_blocked_prior_viable,all_phase_candidate_support_false_positive
126,eval-moderate-020,ours,moderate,primary,True,False,1,2,49,896,4,928,4,1050,126,165,160,0,165,True,True,True,True,0,0
127,eval-hard-014,ours,hard,primary,False,True,1,2,41,331,2,344,3,437,96,159,71,0,87,False,False,False,False,0,0
127,eval-hard-014,ours,hard,primary,False,True,2,3,34,660,30,678,31,799,152,156,96,1,114,False,False,False,False,0,0
128,eval-hard-014,generic,hard,primary,False,False,1,2,1,850,9,927,16,1060,149,181,159,0,173,False,False,False,False,0,0
128,eval-hard-014,generic,hard,primary,False,False,2,3,0,857,6,925,8,1074,157,169,149,1,161,False,False,True,True,0,0
129,eval-easy-005,ours,easy,primary,True,False,1,2,82,1117,0,1147,1,1278,132,174,168,0,174,False,True,True,True,0,0
130,eval-easy-005,generic,easy,primary,True,False,1,2,17,1501,22,1570,25,1575,30,174,161,0,174,False,False,True,True,0,0
131,eval-easy-018,ours,easy,primary,True,False,1,2,49,1218,4,1266,9,1301,44,171,161,0,171,False,True,True,True,0,0
132,eval-easy-018,generic,easy,primary,True,False,1,2,9,1493,13,1577,17,1583,23,170,157,0,170,False,False,True,True,0,0
133,eval-hard-003,ours,hard,primary,False,True,1,2,41,499,7,518,9,581,72,154,107,0,117,False,False,False,False,2,0
133,eval-hard-003,ours,hard,primary,False,True,2,3,33,457,0,499,0,640,141,101,88,0,94,False,False,False,False,0,0
134,eval-hard-003,generic,hard,primary,False,False,1,2,40,934,2,975,3,1144,172,168,8,0,39,False,False,False,False,0,0
135,eval-hard-003,no_occlusion,hard,secondary_ablation,False,True,1,2,57,424,0,434,0,590,156,166,47,0,72,False,False,False,False,0,0
135,eval-hard-003,no_occlusion,hard,secondary_ablation,False,True,2,3,0,423,3,437,3,509,75,150,33,0,55,False,False,False,False,0,0
136,eval-hard-003,no_cost,hard,secondary_ablation,False,True,1,2,41,505,22,522,22,573,73,157,112,0,124,False,False,False,False,1,0
136,eval-hard-003,no_cost,hard,secondary_ablation,False,True,2,3,0,407,0,425,0,522,97,139,82,0,101,False,False,False,False,0,0
137,eval-easy-030,ours,easy,primary,True,False,1,2,82,1111,1,1139,1,1173,35,177,169,0,177,False,True,True,True,0,0
138,eval-easy-030,generic,easy,primary,True,False,1,2,17,1516,12,1556,13,1584,41,172,142,1,169,False,False,False,False,0,0
138,eval-easy-030,generic,easy,primary,True,False,2,3,0,1503,25,1558,28,1570,40,5,3,0,5,False,False,True,True,0,0
139,eval-easy-001,generic,easy,primary,True,False,1,2,17,1526,16,1564,17,1583,36,175,159,1,174,False,False,False,False,0,0
139,eval-easy-001,generic,easy,primary,True,False,2,3,0,1533,10,1583,11,1589,17,21,21,0,21,True,True,True,True,0,0
140,eval-easy-001,ours,easy,primary,True,False,1,2,41,1170,7,1268,40,1267,39,160,159,0,160,False,False,False,False,0,0
140,eval-easy-001,ours,easy,primary,True,False,2,3,0,1190,31,1289,41,1293,45,20,20,0,20,True,True,True,True,0,0
143,eval-moderate-006,generic,moderate,primary,True,False,1,2,1,1087,21,1259,50,1296,87,164,160,2,162,True,True,False,False,0,1
143,eval-moderate-006,generic,moderate,primary,True,False,2,3,0,1075,6,1244,15,1336,107,11,11,0,11,True,True,True,True,0,0
144,eval-moderate-006,ours,moderate,primary,True,False,1,2,41,986,11,1102,34,1155,87,164,162,0,164,False,True,True,True,0,0
145,eval-moderate-012,ours,moderate,primary,True,False,1,2,41,963,10,1072,23,1154,105,157,149,0,156,False,True,True,True,0,0
146,eval-moderate-012,generic,moderate,primary,True,False,1,2,1,1159,19,1275,41,1331,97,168,156,2,166,False,False,False,False,0,0
146,eval-moderate-012,generic,moderate,primary,True,False,2,3,0,1137,14,1286,21,1351,86,10,10,0,10,True,True,True,True,0,0
147,eval-moderate-019,ours,moderate,primary,True,False,1,2,81,865,5,909,6,951,48,177,168,0,177,True,True,True,True,0,0
148,eval-moderate-019,generic,moderate,primary,True,False,1,2,1,1136,19,1304,42,1334,72,172,147,3,167,False,False,False,False,0,0
148,eval-moderate-019,generic,moderate,primary,True,False,2,3,0,1147,24,1292,35,1350,93,7,5,0,6,False,False,True,True,0,0
149,eval-hard-016,generic,hard,primary,False,True,1,2,40,895,2,942,2,1040,100,169,3,0,36,False,False,False,False,0,0
149,eval-hard-016,generic,hard,primary,False,True,2,3,0,908,0,958,0,1082,124,169,2,0,36,False,False,False,False,0,0
150,eval-hard-016,ours,hard,primary,True,False,1,2,41,812,3,859,5,985,131,163,160,0,163,False,False,False,False,0,0
150,eval-hard-016,ours,hard,primary,True,False,2,3,0,814,3,856,4,1014,162,142,141,0,142,True,True,True,True,0,0
154,eval-hard-001,fixed,hard,secondary_baseline,False,True,1,2,0,85,5,87,5,138,56,150,0,0,0,False,False,False,False,0,0
154,eval-hard-001,fixed,hard,secondary_baseline,False,True,2,3,0,82,13,84,15,89,20,150,0,0,0,False,False,False,False,0,0
157,eval-easy-028,generic,easy,primary,False,False,1,2,25,1486,39,1573,42,1555,24,165,153,6,158,False,False,False,False,0,0
157,eval-easy-028,generic,easy,primary,False,False,2,3,0,1472,6,1578,13,1586,21,42,41,0,42,False,True,True,True,0,0
158,eval-easy-028,ours,easy,primary,False,False,1,2,57,1209,6,1232,6,1338,112,137,137,0,137,False,False,False,False,0,0
158,eval-easy-028,ours,easy,primary,False,False,2,3,0,1306,0,1324,0,1392,68,3,3,0,3,True,True,True,True,0,0
159,eval-hard-019,ours,hard,primary,True,False,1,2,41,764,3,819,6,918,105,173,158,0,172,False,False,False,False,2,0
159,eval-hard-019,ours,hard,primary,True,False,2,3,0,785,6,816,9,932,125,141,139,0,141,False,True,True,True,0,0
160,eval-hard-019,generic,hard,primary,False,True,1,2,2,982,26,1034,27,1088,81,121,64,0,92,False,False,False,False,0,0
160,eval-hard-019,generic,hard,primary,False,True,2,3,0,955,7,1003,7,1119,123,112,58,2,81,False,False,False,False,0,0
161,eval-easy-021,generic,easy,primary,True,False,1,2,25,1497,19,1584,21,1576,13,176,159,0,174,False,False,True,True,0,0
162,eval-easy-021,ours,easy,primary,True,False,1,2,41,1195,8,1305,30,1332,57,164,162,0,164,False,True,True,True,0,0
163,eval-moderate-027,generic,moderate,primary,False,False,1,2,1,1126,9,1267,27,1322,82,175,165,0,174,False,True,True,True,0,0
164,eval-moderate-027,ours,moderate,primary,True,False,1,2,64,688,3,760,6,848,94,171,163,0,171,True,True,True,True,0,0
165,eval-easy-010,ours,easy,primary,False,False,1,2,41,1270,13,1377,37,1389,49,161,160,0,161,True,True,True,True,0,0
166,eval-easy-010,generic,easy,primary,True,False,1,2,17,1526,24,1575,29,1571,25,167,159,1,166,False,True,False,False,0,0
166,eval-easy-010,generic,easy,primary,True,False,2,3,0,1497,17,1574,25,1574,25,23,23,0,23,True,True,True,True,0,0
167,eval-moderate-005,ours,moderate,primary,True,False,1,2,82,911,2,943,2,1028,87,182,169,0,182,False,False,True,True,0,0
168,eval-moderate-005,generic,moderate,primary,True,False,1,2,1,1130,10,1274,39,1316,81,177,164,0,176,False,False,False,False,0,0
168,eval-moderate-005,generic,moderate,primary,True,False,2,3,0,1123,11,1262,13,1356,107,1,0,0,1,False,False,True,True,0,0
169,eval-moderate-017,generic,moderate,primary,False,False,1,2,1,1131,23,1276,48,1284,56,162,156,1,160,False,True,False,False,0,0
169,eval-moderate-017,generic,moderate,primary,False,False,2,3,0,1123,32,1261,48,1283,70,11,9,0,11,True,True,True,True,0,0
170,eval-moderate-017,ours,moderate,primary,False,False,1,2,1,889,6,903,6,961,64,253,232,0,250,False,False,False,False,0,0
170,eval-moderate-017,ours,moderate,primary,False,False,2,3,2,1081,6,1120,9,1182,71,189,177,0,187,True,True,True,True,0,0
171,eval-hard-021,generic,hard,primary,False,True,1,2,1,936,7,1039,31,1112,104,155,114,1,124,False,False,False,False,0,0
171,eval-hard-021,generic,hard,primary,False,True,2,3,0,917,5,1038,12,1147,121,139,105,1,109,False,False,False,False,0,0
172,eval-hard-021,ours,hard,primary,True,False,1,2,82,685,1,716,1,895,180,169,167,0,169,False,False,False,False,0,0
172,eval-hard-021,ours,hard,primary,True,False,2,3,0,731,23,768,27,895,154,129,126,0,129,False,True,True,True,0,0
173,eval-easy-008,generic,easy,primary,True,False,1,2,9,1480,20,1574,25,1572,23,175,158,0,172,False,False,False,False,0,0
173,eval-easy-008,generic,easy,primary,True,False,2,3,0,1473,10,1572,14,1585,27,8,5,0,8,False,False,True,True,0,0
174,eval-easy-008,ours,easy,primary,True,False,1,2,82,1080,0,1103,0,1136,33,175,165,0,175,False,False,True,True,0,0
175,eval-moderate-007,ours,moderate,primary,True,False,1,2,49,940,2,962,2,1078,118,169,162,0,169,False,False,True,True,0,0
176,eval-moderate-007,generic,moderate,primary,True,False,1,2,1,1098,15,1245,33,1298,86,167,151,0,166,False,False,True,True,0,0
177,eval-easy-017,ours,easy,primary,True,False,1,2,57,1211,8,1234,8,1350,124,151,145,0,151,True,True,True,True,0,0
178,eval-easy-017,generic,easy,primary,True,False,1,2,17,1521,32,1569,34,1563,28,163,151,5,158,False,False,False,False,0,0
178,eval-easy-017,generic,easy,primary,True,False,2,3,0,1503,9,1570,10,1588,28,27,27,0,27,True,True,True,True,0,0
179,eval-hard-025,ours,hard,primary,False,False,1,2,41,670,2,698,3,854,159,172,150,0,167,False,False,False,False,0,0
179,eval-hard-025,ours,hard,primary,False,False,2,3,0,746,30,772,32,849,109,158,140,0,154,False,True,True,True,0,0
180,eval-hard-025,generic,hard,primary,False,True,1,2,33,933,0,961,0,1046,85,164,5,0,17,False,False,False,False,0,0
180,eval-hard-025,generic,hard,primary,False,True,2,3,88,950,1,993,1,1089,97,156,117,0,150,False,False,False,False,0,0
181,eval-easy-025,ours,easy,primary,True,False,1,2,41,1176,18,1271,34,1270,33,172,170,0,172,False,False,False,False,0,0
181,eval-easy-025,ours,easy,primary,True,False,2,3,0,1176,55,1284,57,1268,41,20,20,0,20,True,True,True,True,0,0
182,eval-easy-025,generic,easy,primary,True,False,1,2,17,1532,15,1583,16,1584,17,165,157,2,163,False,False,False,False,0,0
182,eval-easy-025,generic,easy,primary,True,False,2,3,0,1511,9,1589,11,1589,11,17,16,0,17,True,True,True,True,0,0
183,eval-hard-005,generic,hard,primary,False,True,1,2,1,831,12,951,41,1052,142,164,105,1,123,False,False,False,False,0,0
183,eval-hard-005,generic,hard,primary,False,True,2,3,0,828,10,957,20,1081,144,133,85,1,95,False,False,False,False,0,0
184,eval-hard-005,ours,hard,primary,False,False,1,2,41,665,3,702,4,904,206,170,132,0,150,False,False,False,False,0,0
184,eval-hard-005,ours,hard,primary,False,False,2,3,41,551,22,593,24,661,92,121,110,6,110,True,True,True,True,0,0
185,eval-moderate-014,ours,moderate,primary,True,False,1,2,49,866,2,888,2,1008,122,173,164,0,173,False,False,False,False,0,0
185,eval-moderate-014,ours,moderate,primary,True,False,2,3,0,913,20,939,22,1007,90,16,15,0,16,True,True,True,True,0,0
186,eval-moderate-014,generic,moderate,primary,True,False,1,2,1,1147,27,1270,35,1346,111,174,164,4,168,False,False,False,False,0,0
186,eval-moderate-014,generic,moderate,primary,True,False,2,3,0,1142,13,1285,22,1364,101,22,19,0,21,True,True,True,True,0,0
187,eval-easy-007,ours,easy,primary,True,False,1,2,49,1172,8,1224,9,1270,55,174,166,0,173,False,False,True,True,0,0
188,eval-easy-007,generic,easy,primary,True,False,1,2,17,1532,14,1566,14,1586,34,174,160,2,172,False,False,False,False,0,0
188,eval-easy-007,generic,easy,primary,True,False,2,3,0,1521,15,1574,19,1581,26,20,20,0,20,True,True,True,True,0,0
189,eval-easy-022,generic,easy,primary,True,False,1,2,25,1473,19,1567,22,1577,32,165,151,0,165,False,False,True,True,0,0
190,eval-easy-022,ours,easy,primary,True,False,1,2,41,1226,1,1321,2,1428,109,165,162,0,165,False,True,True,True,0,0
191,eval-hard-013,ours,hard,primary,True,False,1,2,82,635,1,663,1,808,146,170,158,0,169,False,False,False,False,1,0
191,eval-hard-013,ours,hard,primary,True,False,2,3,0,597,32,637,33,790,186,142,140,9,133,False,True,True,True,0,0
192,eval-hard-013,generic,hard,primary,False,True,1,2,2,876,19,918,23,972,77,144,66,0,85,False,False,False,False,0,0
192,eval-hard-013,generic,hard,primary,False,True,2,3,1,936,5,991,8,1082,99,142,82,0,101,False,False,False,False,0,0
193,eval-moderate-021,generic,moderate,primary,False,False,1,2,1,1126,13,1261,33,1324,96,175,163,2,172,False,False,False,False,0,0
193,eval-moderate-021,generic,moderate,primary,False,False,2,3,0,1127,11,1266,12,1352,98,36,33,0,35,True,True,True,True,0,0
194,eval-moderate-021,ours,moderate,primary,True,False,1,2,57,715,2,732,2,840,110,176,170,0,176,False,False,False,False,0,0
194,eval-moderate-021,ours,moderate,primary,True,False,2,3,0,775,22,798,23,829,54,39,38,0,39,True,True,True,True,0,0
195,eval-easy-032,ours,easy,primary,True,False,1,2,41,1156,1,1256,19,1281,44,162,155,0,162,False,True,True,True,0,0
196,eval-easy-032,generic,easy,primary,True,False,1,2,17,1525,19,1561,19,1580,38,173,162,3,169,False,False,False,False,0,0
196,eval-easy-032,generic,easy,primary,True,False,2,3,0,1523,8,1581,8,1592,19,23,22,0,23,False,False,True,True,0,0
197,eval-hard-029,generic,hard,primary,False,True,1,2,33,850,17,926,22,1041,137,170,34,2,59,False,False,False,False,0,0
197,eval-hard-029,generic,hard,primary,False,True,2,3,88,886,11,935,12,1113,190,158,100,0,146,False,False,False,False,0,0
198,eval-hard-029,ours,hard,primary,True,False,1,2,81,571,6,628,6,756,134,167,159,0,167,False,False,False,False,0,0
198,eval-hard-029,ours,hard,primary,True,False,2,3,25,677,14,703,15,847,159,131,128,0,131,False,True,True,True,0,0
199,eval-moderate-022,ours,moderate,primary,True,False,1,2,49,897,1,930,2,1036,108,179,178,0,179,False,False,False,False,0,0
199,eval-moderate-022,ours,moderate,primary,True,False,2,3,0,926,15,952,18,1050,116,38,38,0,38,True,True,True,True,0,0
200,eval-moderate-022,generic,moderate,primary,False,False,1,2,1,1077,19,1253,42,1316,105,176,172,0,176,False,False,False,False,0,0
200,eval-moderate-022,generic,moderate,primary,False,False,2,3,17,1081,39,1212,42,1269,99,40,39,0,40,True,True,True,True,0,0
201,eval-moderate-003,generic,moderate,primary,True,False,1,2,1,1132,25,1286,37,1361,112,173,158,0,171,False,True,True,True,0,0
202,eval-moderate-003,ours,moderate,primary,True,False,1,2,49,985,3,1018,5,1117,104,172,165,0,172,True,True,True,True,0,0
203,eval-easy-020,ours,easy,primary,True,False,1,2,41,1121,14,1224,28,1232,36,173,165,0,173,False,False,False,False,0,0
203,eval-easy-020,ours,easy,primary,True,False,2,3,0,1141,49,1236,55,1222,41,31,27,0,31,False,True,True,True,0,0
204,eval-easy-020,generic,easy,primary,True,False,1,2,17,1529,9,1580,10,1590,20,162,146,1,161,False,True,True,True,0,0
205,eval-hard-011,generic,hard,primary,True,False,1,2,1,916,8,1010,24,1113,127,163,152,0,155,False,False,False,False,0,0
205,eval-hard-011,generic,hard,primary,True,False,2,3,0,877,6,993,10,1141,158,147,134,0,141,False,True,True,True,0,0
206,eval-hard-011,ours,hard,primary,False,False,1,2,41,738,3,772,3,885,116,161,152,0,159,False,False,False,False,0,0
206,eval-hard-011,ours,hard,primary,False,False,2,3,0,765,34,789,34,871,116,138,135,0,138,True,True,True,True,0,0
208,eval-easy-012,ours,easy,primary,True,False,1,2,49,1125,6,1162,8,1239,85,172,172,0,172,False,False,False,False,0,0
208,eval-easy-012,ours,easy,primary,True,False,2,3,0,1177,27,1235,34,1235,34,37,37,0,37,True,True,True,True,0,0
209,eval-easy-011,ours,easy,primary,True,False,1,2,50,1099,12,1150,12,1190,52,165,156,0,165,False,False,False,False,0,0
209,eval-easy-011,ours,easy,primary,True,False,2,3,0,1155,38,1210,41,1183,14,12,12,0,12,True,True,True,True,0,0
210,eval-easy-011,generic,easy,primary,True,False,1,2,17,1521,14,1556,14,1585,43,174,157,1,173,False,False,True,True,0,0
211,eval-hard-022,ours,hard,primary,True,False,1,2,82,596,1,623,1,828,206,177,154,0,177,False,False,False,False,0,0
211,eval-hard-022,ours,hard,primary,True,False,2,3,0,677,35,709,35,816,142,116,110,0,116,True,True,True,True,0,0
212,eval-hard-022,generic,hard,primary,False,True,1,2,1,903,16,981,24,1107,150,175,104,1,125,False,False,False,False,0,0
212,eval-hard-022,generic,hard,primary,False,True,2,3,0,885,6,988,18,1127,157,156,95,0,113,False,False,False,False,0,0
